	monster_n	ancient	set	slot	grade	level	m_t	m_v	i_t	i_v	sub_res	sub_cdmg	sub_atkf	sub_acc	sub_atkp	sub_defp	sub_deff	sub_hpp	sub_hpf	sub_spd	sub_crate	quality	tot_sum_norm	tot_min_norm	tot_max_norm	is_odd	is_certain_set	num_powerup_incsub_left	flag
1183	Inventory	False	Accuracy	2	6	0	DEF%	11	ATK%	7		6.0					16.0			5.0	4.0	Legend	4.46547619047619	6.46547619047619	12.46547619047619	False	False	4.0	False
1184	Inventory	False	Accuracy	3	6	0	DEF flat	22		0	4.0	6.0						8.0		5.0		Legend	4.023809523809524	6.023809523809524	12.023809523809524	True	False	4.0	False
804	Inventory	False	Accuracy	2	5	6	SPD	17		0			11.0			14.0						Rare	2.025	3.025	4.025	False	False	0.0	False
904	Inventory	False	Accuracy	2	5	6	SPD	17		0							31.0	7.0				Rare	1.65	2.65	3.65	False	False	0.0	False
805	Inventory	False	Accuracy	5	5	9	HP flat	1215		0	4.0	12.0				4.0				9.0		Legend	5.714285714285714	6.214285714285714	7.714285714285714	True	False	1.0	False
175	Inventory	False	Blade	1	6	9	ATK flat	94		0	6.0			9.0	8.0					14.0		Legend	7.541666666666667	8.041666666666668	9.541666666666668	True	True	1.0	False
176	Brandia	False	Blade	1	6	9	ATK flat	94	ATK%	7	10.0								346.0	9.0	11.0	Legend	7.419666666666666	7.919666666666666	9.419666666666666	True	True	1.0	False
177	Inventory	False	Blade	1	6	6	ATK flat	70	ACC	4	16.0									11.0		Rare	6.166666666666666	7.166666666666666	8.166666666666666	True	True	0.0	False
178	Inventory	False	Blade	1	6	6	ATK flat	70		0										16.0	6.0	Rare	6.333333333333333	7.333333333333333	8.333333333333332	True	True	0.0	False
179	Zaiross	False	Blade	1	6	9	ATK flat	94		0		5.0		6.0						21.0		Hero	8.464285714285714	8.964285714285714	9.464285714285714	True	True	0.0	False
180	Tesarion *	False	Blade	1	6	9	ATK flat	94	CDmg	6				21.0				5.0		11.0	4.0	Legend	8.44047619047619	8.94047619047619	10.44047619047619	True	True	1.0	False
181	Inventory	False	Blade	1	6	9	ATK flat	94	RES	4		10.0		6.0						17.0		Hero	8.345238095238095	8.845238095238095	9.345238095238095	True	True	0.0	False
183	Inventory	False	Blade	1	6	6	ATK flat	70		0									649.0	11.0		Rare	4.532	5.532	6.532	True	True	0.0	False
184	Raoq	False	Blade	1	6	9	ATK flat	94	HP flat	274	19.0				13.0					6.0	6.0	Legend	7.365333333333333	7.865333333333333	9.365333333333332	True	True	1.0	False
810	Homunculus - Hypermors	False	Blade	1	6	15	ATK flat	160	CRate	4		5.0			12.0			13.0		15.0		Hero	9.50595238095238	9.50595238095238	9.50595238095238	True	True	0.0	False
834	Verdehile 2 *	False	Blade	1	6	12	ATK flat	118	HP%	5	8.0			13.0						15.0	4.0	Hero	8.916666666666666	8.916666666666666	8.916666666666666	True	True	0.0	False
944	Inventory	False	Blade	1	6	0	ATK flat	22	ACC	7					8.0					5.0		Rare	3.541666666666667	5.541666666666667	9.541666666666668	True	True	2.0	False
945	Inventory	False	Blade	1	6	0	ATK flat	22		0					6.0					6.0		Rare	2.75	4.75	8.75	True	True	2.0	False
186	Inventory	False	Blade	2	6	15	SPD	42		0		13.0		7.0		23.0	20.0					Unknown	6.107142857142858	6.107142857142858	6.107142857142858	False	True	0.0	False
188	Inventory	False	Blade	2	6	9	SPD	25	CRate	4	7.0				12.0	18.0						Hero	5.291666666666667	5.791666666666667	6.291666666666667	False	True	0.0	False
189	Garo *	False	Blade	2	6	15	SPD	42	HP flat	146		5.0			10.0	29.0					5.0	Legend	6.617285714285714	6.617285714285714	6.617285714285714	False	True	0.0	False
190	Laika	False	Blade	2	6	15	SPD	42	ATK%	7	16.0					7.0		8.0			11.0	Rare	6.583333333333333	6.583333333333333	6.583333333333333	False	True	0.0	False
192	Inventory	False	Blade	2	6	6	SPD	19	DEF flat	10		4.0				20.0						Rare	3.321428571428571	4.321428571428571	5.321428571428571	False	True	0.0	False
193	Inventory	False	Blade	2	6	9	SPD	25	ACC	6		6.0					12.0		834.0			Hero	3.019142857142857	3.519142857142857	4.019142857142857	False	True	0.0	False
194	Inventory	False	Blade	2	6	6	SPD	19	DEF flat	15		4.0				18.0						Rare	3.196428571428571	4.196428571428571	5.196428571428571	False	True	0.0	False
195	Lushen	False	Blade	2	6	9	ATK%	38		0		5.0					27.0	21.0				Hero	4.014285714285714	4.514285714285714	5.014285714285714	False	True	0.0	False
835	Verdehile 2 *	False	Blade	2	6	15	SPD	42		0					14.0	13.0		20.0			6.0	Hero	6.875	6.875	6.875	False	True	0.0	False
946	Inventory	False	Blade	2	6	0	HP%	11	DEF flat	16		5.0	20.0			6.0				5.0		Legend	4.030952380952382	6.030952380952382	12.030952380952382	False	True	4.0	False
947	Inventory	False	Blade	2	6	0	ATK%	11	SPD	4		6.0							203.0		5.0	Hero	3.294476190476191	5.294476190476191	7.294476190476191	False	True	3.0	False
197	Inventory	False	Blade	3	6	9	DEF flat	94	RES	5						22.0			371.0	9.0		Hero	6.869666666666667	7.369666666666667	7.869666666666667	True	True	0.0	False
198	Inventory	False	Blade	3	6	6	DEF flat	70	RES	4									282.0	14.0		Rare	5.542666666666667	6.542666666666667	7.542666666666667	True	True	0.0	False
199	Inventory	False	Blade	3	6	6	DEF flat	70		0				16.0						8.0		Rare	4.666666666666666	5.666666666666666	6.666666666666666	True	True	0.0	False
200	Inventory	False	Blade	3	6	9	DEF flat	94	HP flat	279				7.0				21.0		10.0		Hero	7.205333333333334	7.705333333333334	8.205333333333334	True	True	0.0	False
812	Homunculus - Hypermors	False	Blade	3	6	15	DEF flat	160		0		16.0				13.0				14.0	12.0	Legend	10.577380952380953	10.577380952380953	10.577380952380953	True	True	0.0	False
948	Inventory	False	Blade	3	6	0	DEF flat	22	ACC	8	7.0					7.0				6.0		Hero	4.75	6.75	11.75	True	True	3.0	False
950	Inventory	False	Blade	3	6	0	DEF flat	22		0				6.0				7.0		6.0		Hero	3.625	5.625	10.625	True	True	3.0	False
201	Inventory	True	Blade	4	6	6	CDmg	35	DEF flat	11				10.0				17.0				Rare	3.65	4.65	5.65	False	True	0.0	False
202	Inventory	False	Blade	4	6	6	CDmg	35		0					14.0			14.0				Rare	3.5	4.5	5.5	False	True	0.0	False
203	Raoq	True	Blade	4	6	9	CDmg	47		0	9.0					24.0				7.0	12.0	Legend	8.458333333333334	8.958333333333334	10.458333333333334	False	True	1.0	False
204	Psamathe	False	Blade	4	6	12	CDmg	59	HP%	6			19.0		23.0					7.0	16.0	Legend	9.1	9.1	9.1	False	True	0.0	False
842	Inventory	True	Blade	4	6	12	CDmg	59		0				21.0	14.0					9.0	6.0	Legend	8.375	8.375	8.375	False	True	0.0	False
