	monster_n	ancient	set	slot	grade	level	m_t	m_v	i_t	i_v	sub_res	sub_cdmg	sub_atkf	sub_acc	sub_atkp	sub_defp	sub_deff	sub_hpp	sub_hpf	sub_spd	sub_crate	quality	tot_sum_norm	tot_min_norm	tot_max_norm	is_odd	tier	num_powerup_incsub_left	sell
1068	Inventory	False	Accuracy	2	6	0	DEF%	11	ATK%	7		6.0					16.0			5.0	4.0	Legend	4.46547619047619	6.46547619047619	12.46547619047619	False	C	4.0	False
1069	Inventory	False	Accuracy	3	6	0	DEF flat	22		0	4.0	6.0						8.0		5.0		Legend	4.023809523809524	6.023809523809524	12.023809523809524	True	C	4.0	False
716	Inventory	False	Accuracy	2	5	6	SPD	17		0			11.0			14.0						Rare	2.025	3.025	4.025	False	C	0.0	False
815	Inventory	False	Accuracy	2	5	6	SPD	17		0							31.0	7.0				Rare	1.65	2.65	3.65	False	C	0.0	False
717	Inventory	False	Accuracy	5	5	9	HP flat	1215		0	4.0	12.0				4.0				9.0		Legend	5.714285714285714	6.214285714285714	7.714285714285714	True	C	1.0	False
135	Inventory	False	Blade	1	6	9	ATK flat	94		0	6.0			9.0	8.0					14.0		Legend	7.541666666666667	8.041666666666668	9.541666666666668	True	C	1.0	False
136	Brandia	False	Blade	1	6	9	ATK flat	94	ATK%	7	10.0								346.0	9.0	11.0	Legend	7.419666666666666	7.919666666666666	9.419666666666666	True	C	1.0	False
137	Inventory	False	Blade	1	6	6	ATK flat	70	ACC	4	16.0									11.0		Rare	6.166666666666666	7.166666666666666	8.166666666666666	True	C	0.0	False
138	Inventory	False	Blade	1	6	6	ATK flat	70		0										16.0	6.0	Rare	6.333333333333333	7.333333333333333	8.333333333333332	True	C	0.0	False
139	Zaiross	False	Blade	1	6	9	ATK flat	94		0		5.0		6.0						21.0		Hero	8.464285714285714	8.964285714285714	9.464285714285714	True	C	0.0	False
140	Inventory	False	Blade	1	6	9	ATK flat	94	CDmg	6				21.0				5.0		11.0	4.0	Legend	8.44047619047619	8.94047619047619	10.44047619047619	True	C	1.0	False
141	Inventory	False	Blade	1	6	9	ATK flat	94	RES	4		10.0		6.0						17.0		Hero	8.345238095238095	8.845238095238095	9.345238095238095	True	C	0.0	False
142	Raoq	False	Blade	1	6	9	ATK flat	94	HP flat	274	19.0				13.0					6.0	6.0	Legend	7.365333333333333	7.865333333333333	9.365333333333332	True	C	1.0	False
722	Homunculus - Hypermors	False	Blade	1	6	15	ATK flat	160	CRate	4		5.0			12.0			13.0		15.0		Hero	9.50595238095238	9.50595238095238	9.50595238095238	True	C	0.0	False
746	Verdehile	False	Blade	1	6	12	ATK flat	118	HP%	5	8.0			13.0						15.0	4.0	Hero	8.916666666666666	8.916666666666666	8.916666666666666	True	C	0.0	False
852	Inventory	False	Blade	1	6	0	ATK flat	22	ACC	7					8.0					5.0		Rare	3.541666666666667	5.541666666666667	9.541666666666668	True	C	2.0	False
853	Inventory	False	Blade	1	6	0	ATK flat	22		0					6.0					6.0		Rare	2.75	4.75	8.75	True	C	2.0	False
1083	Inventory	False	Blade	1	6	0	ATK flat	22	HP flat	217								6.0		6.0	4.0	Hero	3.706	5.7059999999999995	10.706	True	C	3.0	False
1084	Inventory	False	Blade	1	6	0	ATK flat	22		0		7.0							353.0	4.0	5.0	Legend	3.6373333333333333	5.637333333333333	11.637333333333334	True	C	4.0	False
144	Inventory	False	Blade	2	6	15	SPD	42		0		13.0		7.0		23.0	20.0					Unknown	6.107142857142858	6.107142857142858	6.107142857142858	False	C	0.0	False
146	Inventory	False	Blade	2	6	9	SPD	25	CRate	4	7.0				12.0	18.0						Hero	5.291666666666667	5.791666666666667	6.291666666666667	False	C	0.0	False
147	Garo	False	Blade	2	6	15	SPD	42	HP flat	146		5.0			10.0	29.0					5.0	Legend	6.617285714285714	6.617285714285714	6.617285714285714	False	C	0.0	False
148	Laika	False	Blade	2	6	15	SPD	42	ATK%	7	16.0					7.0		8.0			11.0	Rare	6.583333333333333	6.583333333333333	6.583333333333333	False	C	0.0	False
150	Inventory	False	Blade	2	6	6	SPD	19	DEF flat	10		4.0				20.0						Rare	3.321428571428571	4.321428571428571	5.321428571428571	False	C	0.0	False
151	Inventory	False	Blade	2	6	9	SPD	25	ACC	6		6.0					12.0		834.0			Hero	3.019142857142857	3.519142857142857	4.019142857142857	False	C	0.0	False
152	Inventory	False	Blade	2	6	6	SPD	19	DEF flat	15		4.0				18.0						Rare	3.196428571428571	4.196428571428571	5.196428571428571	False	C	0.0	False
153	Lushen	False	Blade	2	6	9	ATK%	38		0		5.0					27.0	21.0				Hero	4.014285714285714	4.514285714285714	5.014285714285714	False	C	0.0	False
747	Verdehile	False	Blade	2	6	15	SPD	42		0					14.0	13.0		20.0			6.0	Hero	6.875	6.875	6.875	False	C	0.0	False
854	Inventory	False	Blade	2	6	0	HP%	11	DEF flat	16		5.0	20.0			6.0				5.0		Legend	4.030952380952382	6.030952380952382	12.030952380952382	False	C	4.0	False
855	Inventory	False	Blade	2	6	0	ATK%	11	SPD	4		6.0							203.0		5.0	Hero	3.294476190476191	5.294476190476191	7.294476190476191	False	C	3.0	False
1085	Inventory	False	Blade	2	6	0	SPD	7	CDmg	5						8.0	17.0					Rare	2.1392857142857142	4.139285714285714	6.139285714285714	False	C	2.0	False
1086	Inventory	False	Blade	2	6	0	DEF%	11		0									281.0	5.0	5.0	Hero	2.8746666666666667	4.874666666666666	9.874666666666666	False	C	3.0	False
155	Inventory	False	Blade	3	6	9	DEF flat	94	RES	5						22.0			371.0	9.0		Hero	6.869666666666667	7.369666666666667	7.869666666666667	True	C	0.0	False
156	Inventory	False	Blade	3	6	6	DEF flat	70	RES	4									282.0	14.0		Rare	5.542666666666667	6.542666666666667	7.542666666666667	True	C	0.0	False
157	Inventory	False	Blade	3	6	9	DEF flat	94	HP flat	279				7.0				21.0		10.0		Hero	7.205333333333334	7.705333333333334	8.205333333333334	True	C	0.0	False
724	Homunculus - Hypermors	False	Blade	3	6	15	DEF flat	160		0		16.0				13.0				14.0	12.0	Legend	10.577380952380953	10.577380952380953	10.577380952380953	True	C	0.0	False
856	Inventory	False	Blade	3	6	0	DEF flat	22	ACC	8	7.0					7.0				6.0		Hero	4.75	6.75	11.75	True	C	3.0	False
858	Inventory	False	Blade	3	6	0	DEF flat	22		0				6.0				7.0		6.0		Hero	3.625	5.625	10.625	True	C	3.0	False
158	Raoq	True	Blade	4	6	9	CDmg	47		0	9.0					24.0				7.0	12.0	Legend	8.458333333333334	8.958333333333334	10.458333333333334	False	C	1.0	False
159	Psamathe	False	Blade	4	6	12	CDmg	59	HP%	6			19.0		23.0					7.0	16.0	Legend	9.1	9.1	9.1	False	C	0.0	False
754	Kro	True	Blade	4	6	12	CDmg	59		0				21.0	14.0					9.0	6.0	Legend	8.375	8.375	8.375	False	C	0.0	False
1203	Inventory	False	Blade	4	6	0	CRate	7		0								7.0		5.0		Rare	2.541666666666667	4.541666666666667	8.541666666666668	False	C	2.0	False
1204	Inventory	False	Blade	4	6	0	CDmg	11	ACC	5			19.0				10.0		300.0			Hero	1.75	3.75	5.75	False	C	3.0	True
160	Laika	False	Blade	5	6	6	HP flat	1080	CDmg	7	8.0									15.0		Rare	7.0	8.0	9.0	True	C	0.0	False
161	Inventory	False	Blade	5	6	9	HP flat	1440	CRate	4						13.0	20.0			13.0		Hero	7.125	7.625	8.125	True	C	0.0	False
162	Garo	False	Blade	5	6	9	HP flat	1440	ACC	7					13.0					15.0	4.0	Hero	8.166666666666668	8.666666666666668	9.166666666666668	True	C	0.0	False
163	Inventory	False	Blade	5	6	9	HP flat	1440	ATK flat	20					6.0	13.0				15.0		Hero	7.875	8.375	8.875	True	C	0.0	False
164	Kro	True	Blade	5	6	6	HP flat	1080		0					16.0					11.0		Rare	5.666666666666666	6.666666666666666	7.666666666666666	True	C	0.0	False
165	Inventory	False	Blade	5	6	6	HP flat	1080	HP%	6				11.0						9.0		Rare	5.125	6.125	7.125	True	C	0.0	False
166	Inventory	False	Blade	5	6	9	HP flat	1440	ACC	4					15.0	16.0				6.0		Hero	6.375	6.875	7.375	True	C	0.0	False
167	Brandia	False	Blade	5	6	6	HP flat	1080	CDmg	7										6.0	15.0	Rare	5.5	6.5	7.5	True	C	0.0	False
1087	Inventory	False	Blade	5	6	0	HP flat	360	ACC	5		6.0								5.0		Rare	3.1488095238095237	5.148809523809524	9.148809523809524	True	C	2.0	False
1205	Inventory	False	Blade	5	6	0	HP flat	360	ACC	8	6.0				8.0		19.0			5.0		Legend	4.891666666666667	6.891666666666667	12.891666666666666	True	C	4.0	False
168	Zaiross	False	Blade	6	6	12	ATK%	47	HP flat	317				7.0		5.0		5.0		19.0		Hero	8.880999999999998	8.880999999999998	8.880999999999998	False	C	0.0	False
859	Inventory	False	Blade	6	6	0	HP%	11	CDmg	5					6.0					4.0		Rare	2.7976190476190474	4.7976190476190474	8.797619047619047	False	C	2.0	False
860	Inventory	False	Blade	6	6	0	HP%	11		0			11.0							6.0		Rare	2.275	4.275	8.275	False	C	2.0	False
1088	Inventory	False	Blade	6	6	0	HP%	11	HP flat	193	8.0	5.0			6.0	7.0						Legend	3.596619047619048	5.596619047619048	7.596619047619048	False	C	4.0	False
1089	Inventory	False	Blade	6	6	0	HP%	11	ACC	6									136.0	4.0	6.0	Hero	3.264666666666667	5.264666666666667	10.264666666666667	False	C	3.0	False
143	Inventory	True	Blade	2	5	12	SPD	29		0		7.0		15.0		9.0	24.0					Legend	4.6	4.6	4.6	False	C	0.0	False
145	Inventory	True	Blade	2	5	6	SPD	17	CRate	5				6.0			33.0					Rare	2.408333333333333	3.408333333333333	4.408333333333333	False	C	0.0	False
149	Psamathe	True	Blade	2	5	12	SPD	29	CDmg	3				9.0	19.0	9.0					13.0	Legend	7.220238095238095	7.220238095238095	7.220238095238095	False	C	0.0	False
154	Inventory	True	Blade	3	5	6	DEF flat	57		0								9.0		12.0		Rare	5.125	6.125	7.125	True	C	0.0	False
857	Inventory	True	Blade	3	5	0	DEF flat	15		0				5.0						4.0	6.0	Hero	2.958333333333333	4.958333333333333	9.958333333333332	True	C	3.0	False
333	Haegang	False	Despair	1	6	9	ATK flat	94	RES	6				6.0	11.0					17.0		Hero	8.541666666666668	9.041666666666668	9.541666666666668	True	B	0.0	False
334	Psamathe	False	Despair	1	6	9	ATK flat	94	RES	8		7.0			13.0					14.0		Hero	8.291666666666668	8.791666666666668	9.291666666666668	True	B	0.0	False
335	Inventory	True	Despair	1	6	12	ATK flat	118		0	13.0			17.0	6.0					11.0		Legend	8.166666666666666	8.166666666666666	8.166666666666666	True	B	0.0	False
336	Inventory	False	Despair	1	6	6	ATK flat	70	ACC	5	6.0									14.0		Rare	6.041666666666667	7.041666666666667	8.041666666666668	True	B	0.0	False
1140	Inventory	False	Despair	1	6	0	ATK flat	22		0									286.0	4.0		Rare	1.7146666666666666	3.7146666666666666	7.714666666666666	True	B	2.0	False
1233	Inventory	False	Despair	1	6	0	ATK flat	22	CDmg	5									240.0	4.0		Rare	2.3676190476190477	4.367619047619048	8.367619047619048	True	B	2.0	False
1234	Inventory	False	Despair	1	6	0	ATK flat	22	HP flat	238	8.0	6.0										Rare	2.1744761904761907	4.174476190476191	6.174476190476191	True	B	2.0	True
337	Inventory	False	Despair	2	6	6	SPD	19		0	11.0					12.0						Rare	2.875	3.875	4.875	False	B	0.0	False
338	Inventory	False	Despair	2	6	9	SPD	25		0	12.0		19.0								10.0	Rare	3.6416666666666666	4.141666666666667	4.641666666666667	False	B	0.0	False
341	Inventory	False	Despair	2	6	6	SPD	19	DEF%	8					15.0		26.0					Rare	3.525	4.525	5.525	False	B	0.0	False
342	Inventory	False	Despair	2	6	9	SPD	25	ATK%	8			29.0			20.0		8.0				Hero	5.225	5.725	6.225	False	B	0.0	False
343	Inventory	False	Despair	2	6	12	DEF%	47	CDmg	7				25.0				13.0		6.0	4.0	Legend	8.416666666666668	8.416666666666668	8.416666666666668	False	B	0.0	False
917	Inventory	False	Despair	2	6	0	SPD	7	ACC	5						5.0			213.0			Rare	1.534	3.534	5.534	False	B	2.0	False
918	Inventory	True	Despair	2	6	0	SPD	7		0		8.0		10.0				10.0			6.0	Legend	4.642857142857142	6.642857142857142	8.642857142857142	False	B	4.0	False
919	Inventory	False	Despair	2	6	0	SPD	7		0					5.0		14.0					Rare	0.975	2.975	4.975	False	B	2.0	False
344	Haegang	False	Despair	3	6	9	DEF flat	94		0								15.0		16.0	4.0	Hero	7.875	8.375	8.875	True	B	0.0	False
346	Inventory	False	Despair	3	6	9	DEF flat	94	CDmg	5	5.0					17.0			395.0	5.0		Legend	5.657619047619048	6.157619047619048	7.657619047619048	True	B	1.0	False
347	Psamathe	False	Despair	3	6	9	DEF flat	94		0						15.0				13.0	5.0	Hero	7.041666666666666	7.541666666666666	8.041666666666666	True	B	0.0	False
348	Inventory	False	Despair	3	6	9	DEF flat	94	HP%	8	9.0			4.0						15.0		Hero	7.625	8.125	8.625	True	B	0.0	False
920	Inventory	False	Despair	3	6	0	DEF flat	22		0		4.0				6.0				6.0		Hero	3.321428571428571	5.321428571428571	10.321428571428571	True	B	3.0	False
1101	Inventory	False	Despair	3	6	0	DEF flat	22	HP%	8										5.0	4.0	Rare	3.3333333333333335	5.333333333333334	9.333333333333334	True	B	2.0	False
1235	Inventory	False	Despair	3	6	0	DEF flat	22	DEF%	6		4.0		4.0								Rare	1.8214285714285714	3.821428571428571	5.821428571428571	True	B	2.0	True
349	Haegang	False	Despair	4	6	9	DEF%	38	CRate	4	23.0						20.0			11.0		Hero	7.708333333333333	8.208333333333332	8.708333333333332	False	B	0.0	False
350	Inventory	False	Despair	4	6	9	HP%	38	ACC	7		11.0							381.0	11.0		Hero	6.621095238095238	7.121095238095238	7.621095238095238	False	B	0.0	False
921	Inventory	False	Despair	4	6	12	HP%	47	DEF%	6	21.0			6.0			35.0			7.0		Legend	7.333333333333334	7.333333333333334	7.333333333333334	False	B	0.0	False
1102	Inventory	False	Despair	4	6	0	ATK%	11		0		5.0							183.0	5.0	5.0	Legend	3.4582857142857146	5.458285714285715	11.458285714285715	False	B	4.0	False
351	Inventory	False	Despair	5	6	6	HP flat	1080	ATK flat	11	5.0									18.0		Rare	6.9	7.9	8.9	True	B	0.0	False
352	Inventory	False	Despair	5	6	6	HP flat	1080	CRate	4						8.0				16.0		Rare	7.0	8.0	9.0	True	B	0.0	False
354	Psamathe	False	Despair	5	6	9	HP flat	1440		0	11.0									10.0	11.0	Hero	6.541666666666667	7.041666666666667	7.541666666666667	True	B	0.0	False
922	Inventory	False	Despair	5	6	0	HP flat	360		0					7.0					4.0		Rare	2.208333333333333	4.208333333333333	8.208333333333332	True	B	2.0	False
1236	Inventory	False	Despair	5	6	0	HP flat	360		0	6.0					8.0		5.0				Hero	2.375	4.375	6.375	True	B	3.0	True
