;DT_RowId;id;unique_id;monster;originID;monster_n;originName;ancient;efficiency;set;slot;grade;level;m_t;m_v;i_t;i_v;locked;sub_res;sub_cdmg;sub_atkf;sub_acc;sub_atkp;sub_defp;sub_deff;sub_hpp;sub_hpf;sub_spd;sub_crate;quality;max_efficiency;tot_max_norm
0;row_1;1;38552744212;581;0;Dongbaek;Inventory;True;59.47;Energy;1;6;9;ATK flat;94;;0;0;;13.0;;;;;;17.0;;12.0;;Hero;66.61;8.982142857142858
1;row_4;4;36850772381;581;0;Dongbaek;Inventory;True;64.45;Energy;2;6;15;DEF%;63;;0;0;;11.0;;;7.0;;;9.0;;17.0;;Hero;64.45;9.238095238095239
2;row_6;6;36404670431;0;0;Inventory;Inventory;False;48.24;Energy;2;5;15;SPD;39;HP%;4;0;13.0;5.0;;17.0;11.0;;;;;;;Legend;48.24;6.339285714285714
3;row_7;7;40501019149;581;0;Dongbaek;Inventory;True;64.27;Energy;3;6;12;DEF flat;118;;0;0;10.0;;;10.0;;28.0;;;;12.0;;Legend;64.27;10.0
4;row_10;10;12357027252;97;0;Xiong Fei;Inventory;False;62.19;Energy;3;6;12;DEF flat;118;;0;0;5.0;;;15.0;;13.0;;;;14.0;;Legend;62.19;8.791666666666668
5;row_11;11;11052453933;0;0;Inventory;Inventory;False;68.7;Energy;4;6;15;CRate;58;CDmg;6;0;;;;6.0;;7.0;;7.0;;21.0;;Legend;68.7;10.357142857142858
6;row_14;14;38582102828;0;0;Inventory;Inventory;True;61.59;Energy;4;6;15;CRate;58;;0;0;;;;6.0;37.0;;;16.0;;7.0;;Hero;61.59;9.708333333333334
7;row_16;16;40694353842;0;0;Inventory;Inventory;False;60.35;Energy;5;6;9;HP flat;1440;CRate;6;0;;;14.0;8.0;;;;;;16.0;;Rare;67.5;8.683333333333334
8;row_17;17;40214784883;97;0;Xiong Fei;Inventory;False;64.55;Energy;5;6;9;HP flat;1440;CRate;4;0;;11.0;;7.0;;;;;;18.0;;Hero;71.69;10.113095238095237
9;row_20;20;40214804260;0;0;Inventory;Inventory;False;59.52;Energy;5;6;9;HP flat;1440;ACC;6;0;;;35.0;;;;;7.0;;15.0;;Hero;66.67;8.5
10;row_24;24;38014819034;83;0;Verad;Inventory;False;62.49;Guard;1;6;12;ATK flat;118;ATK%;7;1;6.0;;;;;;;29.0;;10.0;6.0;Legend;62.49;9.583333333333334
11;row_25;25;38565552962;177;0;Darion;Inventory;False;64.39;Guard;1;6;12;ATK flat;118;HP%;6;0;;14.0;;7.0;;;;;317.0;16.0;;Legend;64.39;9.381
12;row_33;33;36131027588;0;0;Inventory;Inventory;False;54.72;Guard;2;6;15;DEF%;63;CDmg;7;0;20.0;;;;;;;;365.0;5.0;9.0;Hero;54.72;7.153333333333333
13;row_37;37;38157588147;177;0;Darion;Inventory;False;67.46;Guard;3;6;12;DEF flat;118;DEF%;8;1;13.0;12.0;;;;;;20.0;;13.0;;Legend;67.46;11.172619047619046
14;row_39;39;40801981816;89;0;Lulu and Friends;Inventory;False;69.04;Guard;3;6;12;DEF flat;118;;0;0;8.0;;;;;7.0;;13.0;;21.0;;Legend;69.04;10.5
15;row_40;40;9310474949;0;0;Inventory;Inventory;False;57.54;Guard;4;6;12;CDmg;59;CRate;4;0;;;;;15.0;7.0;30.0;;;10.0;;Legend;57.54;7.500000000000001
16;row_41;41;36216324401;0;0;Inventory;Inventory;False;57.73;Guard;4;6;15;CDmg;80;;0;0;;;;;11.0;23.0;;8.0;;8.0;;Legend;57.73;7.916666666666666
17;row_42;42;36512767709;0;0;Inventory;Inventory;False;59.11;Guard;4;6;12;CDmg;59;ACC;8;0;;;;;5.0;;;27.0;;6.0;11.0;Legend;59.11;8.833333333333332
18;row_48;48;38167265400;83;0;Verad;Inventory;False;68.44;Guard;5;6;12;HP flat;1800;RES;7;0;;7.0;;;;14.0;;13.0;;17.0;;Legend;68.44;10.916666666666668
19;row_50;50;36560304697;124;0;Dias;Inventory;False;63.09;Guard;5;6;9;HP flat;1440;CDmg;7;1;;;;;6.0;;;6.0;;18.0;;Rare;70.23;9.5
20;row_51;51;37497456624;89;0;Lulu and Friends;Inventory;False;63.2;Guard;5;6;9;HP flat;1440;HP%;8;0;;5.0;;;;;;;;18.0;5.0;Rare;70.35;9.547619047619047
21;row_54;54;36410533428;0;0;Inventory;Inventory;True;61.18;Guard;6;6;15;RES;64;;0;0;;;;8.0;;;13.0;23.0;;13.0;;Hero;61.18;8.533333333333333
22;row_55;55;40004341917;0;0;Inventory;Inventory;False;53.26;Guard;6;6;9;DEF%;38;;0;0;;;;28.0;7.0;;;;;6.0;;Hero;60.41;7.375
23;row_56;56;40217731100;0;0;Inventory;Inventory;False;60.77;Guard;6;6;11;HP%;44;ACC;7;1;;7.0;26.0;;;;;;;16.0;;Hero;67.92;8.858333333333334
24;row_61;61;39543505220;134;0;Hwa;Inventory;False;54.33;Swift;1;6;9;ATK flat;94;;0;1;;11.0;;;6.0;;;;;11.0;;Rare;61.47;6.988095238095237
25;row_63;63;37652328779;0;0;Inventory;Inventory;False;48.09;Swift;2;6;9;ATK%;38;HP%;7;0;;;18.0;4.0;;27.0;;;;;;Hero;55.23;6.2
26;row_64;64;38079680621;6;0;Verdehile;Inventory;False;49.25;Swift;2;6;9;ATK%;38;RES;4;0;;13.0;;;;;;;;4.0;8.0;Rare;56.4;6.023809523809524
27;row_65;65;38582870238;0;0;Inventory;Inventory;False;48.15;Swift;2;5;9;ATK%;29;;0;0;;;;;;;;14.0;;10.0;8.0;Hero;55.29;7.416666666666667
28;row_66;66;39919798032;0;0;Inventory;Inventory;False;50.46;Swift;2;5;12;ATK%;37;DEF%;6;0;;3.0;;;;;;7.0;;12.0;6.0;Legend;50.46;7.053571428571429
29;row_68;68;40502753745;135;0;Verdehile 2;Inventory;False;60.93;Swift;2;6;15;HP%;63;;0;0;;6.0;;;;;;;552.0;15.0;9.0;Legend;60.93;8.093142857142857
