	monster_n	ancient	set	slot	grade	level	m_t	m_v	i_t	i_v	sub_res	sub_cdmg	sub_atkf	sub_acc	sub_atkp	sub_defp	sub_deff	sub_hpp	sub_hpf	sub_spd	sub_crate	quality	tot_sum_norm	tot_min_norm	tot_max_norm	is_odd	tier	num_powerup_incsub_left	sell
1204	Inventory	False	Blade	4	6	0	CDmg	11	ACC	5			19.0				10.0		300.0			Hero	1.75	3.75	5.75	False	C	3.0	True
1234	Inventory	False	Despair	1	6	0	ATK flat	22	HP flat	238	8.0	6.0										Rare	2.1744761904761907	4.174476190476191	6.174476190476191	True	B	2.0	True
1235	Inventory	False	Despair	3	6	0	DEF flat	22	DEF%	6		4.0		4.0								Rare	1.8214285714285714	3.821428571428571	5.821428571428571	True	B	2.0	True
1236	Inventory	False	Despair	5	6	0	HP flat	360		0	6.0					8.0		5.0				Hero	2.375	4.375	6.375	True	B	3.0	True
1237	Inventory	False	Despair	5	6	0	HP flat	360	DEF%	5			15.0	8.0							4.0	Hero	2.6666666666666665	4.666666666666666	6.666666666666666	True	B	3.0	True
1238	Inventory	False	Despair	6	6	0	ACC	12	DEF flat	17		5.0	15.0									Rare	1.5142857142857145	3.5142857142857142	5.514285714285714	False	B	2.0	True
1218	Inventory	False	Endure	1	6	0	ATK flat	22	CRate	4				5.0					254.0			Rare	1.6303333333333332	3.630333333333333	5.630333333333333	True	C	2.0	True
1221	Inventory	False	Endure	3	6	0	DEF flat	22	DEF%	6	7.0							8.0	190.0			Hero	2.8783333333333334	4.878333333333334	6.878333333333334	True	C	3.0	True
1223	Inventory	False	Endure	4	6	0	DEF%	11	HP flat	169					5.0						5.0	Rare	1.6836666666666669	3.683666666666667	5.683666666666667	False	C	2.0	True
1176	Inventory	False	Energy	4	6	0	CDmg	11	RES	7					8.0	5.0						Rare	2.5	4.5	6.5	False	C	2.0	True
1177	Inventory	False	Energy	6	6	0	ACC	12	ATK flat	10		5.0							213.0			Rare	1.2482857142857142	3.248285714285714	5.248285714285714	False	C	2.0	True
